timestamp,price,quantity,side
1746150365030,96798.38000000,0.00002000,sell
1746150365030,96798.11000000,0.00512000,sell
1746150365030,96789.39000000,0.00007000,sell
1746150365030,96770.70000000,0.01896000,sell
1746150442126,96875.10000000,0.00019000,buy
1746150544687,96878.96000000,0.00010000,buy
1746150916222,97034.75000000,0.00112000,buy
1746150951762,97042.77000000,0.00106000,buy
1746151284585,96863.99000000,0.00015000,sell
1746151311920,96916.99000000,0.00012000,buy
1746151377557,96858.40000000,0.00005000,buy
1746151378436,96858.40000000,0.00009000,buy
1746151379419,96858.40000000,0.00009000,buy
1746151380557,96858.38000000,0.00004000,buy
1746151381559,96858.38000000,0.00005000,buy
1746151382554,96858.36000000,0.00002000,buy
1746151384547,96858.34000000,0.00003000,buy
1746151438579,96789.39000000,0.00006000,sell
1746151439586,96789.39000000,0.00001000,sell
1746151689179,96789.39000000,0.04584000,buy
1746151819806,96866.56000000,0.00004000,buy
1746151819923,96860.70000000,0.00149000,buy
1746151820672,96860.70000000,0.00007000,buy
1746151891838,96843.45000000,0.00002000,sell
1746151891838,96766.67000000,0.00050000,sell
1746151993170,96758.51000000,0.00052000,sell
1746152036482,96766.67000000,0.00047000,sell
1746152039405,96766.67000000,0.00087000,sell
1746152101627,96767.00000000,0.01436000,buy
1746152164017,96816.81000000,0.00003000,buy
1746152167991,96807.22000000,0.00002000,buy
1746152353671,96867.44000000,0.00008000,buy
1746152357117,96867.42000000,0.00003000,buy
1746152398631,96842.46000000,0.00002000,sell
1746152398631,96800.80000000,0.00104000,sell
1746152459182,96876.22000000,0.00002000,buy
1746152588267,96916.60000000,0.00002000,buy
1746152697370,96918.72000000,0.00007000,buy
1746152737728,96918.72000000,0.00006000,buy
1746152823288,96919.00000000,0.00213000,buy
1746152823288,96958.84000000,0.00039000,buy
1746152910487,96957.62000000,0.00399000,sell
1746152964171,97044.46000000,0.00006000,buy
1746152979632,96981.43000000,0.00052000,sell
1746153064921,97041.66000000,0.00007000,buy
1746153214918,97039.85000000,0.00041000,buy
1746153374324,97044.59000000,0.00171000,buy
1746153406179,96981.43000000,0.04423000,sell
1746153566578,96963.11000000,0.00041000,sell
1746153662813,96988.46000000,0.00003000,buy
1746153697985,96907.25000000,0.00051000,sell
1746153855684,96978.75000000,0.00903000,buy
1746153879333,96907.79000000,0.00019000,sell
1746382850287,95419.59000000,0.00712000,buy
1746382850287,95461.41000000,0.00351000,buy
1746382850287,95484.11000000,0.01032000,buy
1746382915077,95419.58000000,0.00220000,buy
1746382935955,95436.70000000,0.00041000,sell
